text,nic_code,nic_label,division
medical device manufacturing as micro enterprise,32504,Manufacture of medical instruments,Manufacturing
providingsoftware development unit,62011,Writing and modifying computer programs,IT Services
Growingcopper wire making,24201,Manufacture of copper products,Manufacturing
i own a provision store as micro enterprise,47190,Other retail sale in non-specialized stores,Trade
repairingchai bagicha in assam,1271,Growing of tea,Agriculture
fish farming as micro enterprise,3221,Fish farming in freshwater,Agriculture
makingutensil making brass copper for domestic use,25994,Manufacture of metal household articles,Manufacturing
repairingwe make bread and biscuits business,10712,Manufacture of biscuits and cakes,Manufacturing
my work involves cutlery manufacturing for export,25931,Manufacture of cutlery,Manufacturing
i am a fuel station at home,47300,Retail sale of automotive fuel,Trade
business activity: switch socket manufacturing,27331,Manufacture of switch and socket,Manufacturing
we provide wedding event management,82300,Organization of conventions and trade shows,Services
providingwe dry and pack fish as a home business,10201,Sun-drying of fish,Manufacturing
i am working in coaching institute as msme,85491,Academic tutoring services,Education
sellingevent catering as a home business,56210,Event catering,Hospitality
i am doing building construction on small scale,41001,Construction of buildings,Construction
Growingbuilding construction for export,41001,Construction of buildings,Construction
we repair electronic items as msme,95210,Repair of consumer electronics,Services
i am working in we sell vegetables and fruits for export,47212,Retail sale of fresh fruit and vegetables,Trade
surgical cotton bandage making,21006,Manufacture of medical wadding gauze bandages,Manufacturing
saree weaving silk as a home business,13122,Weaving of silk fabrics,Manufacturing
our business is spice farming at home,1284,Growing of spices,Agriculture
business activity: cyber cafe for export,63992,Activities of cyber cafe,IT Services
i run a repair shop electronics in my village,95210,Repair of consumer electronics,Services
i am working in ceramic pottery unit,23931,Manufacture of articles of porcelain and pottery,Manufacturing
we are manufacturers of we provide tiffin to offices,56291,Activities of food service contractors,Hospitality
the company is engaged in we run a dhaba as msme,56101,Restaurants,Hospitality
business activity: mango farming in konkan for export,1221,Growing of mangoes,Agriculture
servicemobile phone shop in india,47414,Retail sale of telecommunication equipment,Trade
repairingkitab ki dukan,47613,Retail sale of stationery,Trade
we are manufacturers of bhains palan dudh ka kaam as a home business,1412,Production of milk from cows or buffaloes,Agriculture
sellingwe make glass bangles for local market,23106,Manufacture of glass bangles,Manufacturing
two wheeler manufacturing,30911,Manufacture of motorcycles and scooters,Manufacturing
i am working in repair shop electronics business,95210,Repair of consumer electronics,Services
we specialize in paper bag making on small scale,17024,Manufacture of sacks and bags of paper,Manufacturing
providingecommerce business for domestic use,47912,Retail sale via e-commerce,Trade
chawal chakki,10612,Rice milling,Manufacturing
petrol pump on small scale,47300,Retail sale of automotive fuel,Trade
i am working in vakil ka kaam business,69100,Legal activities,Professional
Growingbakri palan,1441,Raising and breeding of sheep and goats,Agriculture
i am doing sugar manufacturing,10721,Manufacture of sugar from sugarcane,Manufacturing
makingfast food centre near me,56102,Cafeterias and fast food restaurants,Hospitality
electrician contractor,43211,Installation of electrical wiring,Construction
i am doing diamond cutting and polishing as micro enterprise,32112,Working of diamonds and precious stones,Manufacturing
makingdoctor clinic for export,86201,Medical practice activities,Healthcare
we make allopathic medicines at home,21002,Manufacture of allopathic pharmaceutical preparations,Manufacturing
i am working in website development on small scale,62012,Web page designing,IT Services
providingpashu chikitsa,75000,Veterinary activities,Professional
repairingwe repair cycles,95291,Repair of bicycles,Services
repairingi grow non basmati rice,1122,Organic farming of non-basmati rice,Agriculture
we manufacture chocolates on small scale,10732,Manufacture of chocolate,Manufacturing
cotton fabric weaving unit unit,13121,Weaving of cotton fabrics,Manufacturing
we are manufacturers of iti training institute in india,85221,Technical and vocational education,Education
liquid soap manufacturing unit,20231,Manufacture of soap all forms,Manufacturing
my small business is we mine coal opencast since many years,5101,Opencast mining of hard coal,Mining
business activity: flour mill in india,10611,Flour milling,Manufacturing
we have a petrol pump as a home business,47300,Retail sale of automotive fuel,Trade
i am doing we sell fresh juice business,56303,Fruit juice bars,Hospitality
servicewe bake and sell bread,10711,Manufacture of bread,Manufacturing
manufacturingonline selling ecommerce as msme,47912,Retail sale via e-commerce,Trade
farming wheat and selling as micro enterprise,1111,Growing of wheat,Agriculture
sellingled lamp manufacturing at home,27400,Manufacture of electric lighting equipment,Manufacturing
providingdiagnostic lab pathology at home,86905,Activities of diagnostic laboratories,Healthcare
mobile phone shop for export,47414,Retail sale of telecommunication equipment,Trade
our business is chappals and sandals making,15201,Manufacture of leather footwear,Manufacturing
we do mirchi ki kheti near me,1282,Growing of chili,Agriculture
makingpashu chikitsa at home,75000,Veterinary activities,Professional
i am a chai packing unit in india,10791,Processing and blending of tea,Manufacturing
i run a we supply packaged water,11043,Manufacture of mineral water,Manufacturing
servicei grow non basmati rice as msme,1122,Organic farming of non-basmati rice,Agriculture
providingwe build houses and flats at home,41001,Construction of buildings,Construction
civil engineer consultant,71100,Architectural and engineering activities,Professional
we specialize in carpet weaving unit for export,13931,Manufacture of carpets of cotton,Manufacturing
my work involves custom software development,62011,Writing and modifying computer programs,IT Services
we specialize in eent banane ka kaam,23921,Manufacture of bricks,Manufacturing
makingtin box can making on small scale,25992,Manufacture of containers tins and cans,Manufacturing
washing powder manufacturing,20233,Manufacture of detergent,Manufacturing
manufacturingpotato and sweet potato farming at home,1135,Growing of potatoes and tubers,Agriculture
sellingrice farming in irrigated fields,1121,Organic farming of basmati rice,Agriculture
sellingi grow mangoes business,1221,Growing of mangoes,Agriculture
makingprivate school near me,85211,General school education first stage,Education
servicewe repair industrial machines since many years,33121,Repair of engines and turbines,Manufacturing
our business is rice mill as micro enterprise,10612,Rice milling,Manufacturing
we do i run a rice mill on small scale,10612,Rice milling,Manufacturing
we provide computer assembly,26201,Manufacture of desktop and laptop computers,Manufacturing
business activity: we run a beauty salon near me,96020,Hairdressing and other beauty treatment,Services
Growingwe develop software as micro enterprise,62011,Writing and modifying computer programs,IT Services
our business is we operate auto rickshaw unit,49224,Taxi operation,Transport
tradingchai bagicha in assam,1271,Growing of tea,Agriculture
i run a lace and embroidery business for domestic use,13991,Embroidery work and making of laces,Manufacturing
we do dhaba food stall at home,56101,Restaurants,Hospitality
we provide wire and cable manufacturing in my village,27320,Manufacture of wires and cables,Manufacturing
